id,name_clean,duration_minutes,artists,artist_list,primary_artist,artist_count
026O2YP2wRl9h3Ht9ClZST,Steady Rain in a Forest with Light Background Bird Chirping (Storm Ambience Sound Effects),100,Nature Sounds,['Nature Sounds'],Nature Sounds,1
0DXnjJxJBvgMvBjG6Jug7I,Soundarya Lahari,66,Mambalam Sisters,['Mambalam Sisters'],Mambalam Sisters,1
6BFn78qFy9bRqKHTMfhnNv,Waves of Abundance & Fullfillment,60,Zen Life Relax,['Zen Life Relax'],Zen Life Relax,1
1dNwMOMtq3yflXibbqgLku,Mosquito Solution Anti Teen Street Party or Teenagers Loitering,45,Device Sound Effect,['Device Sound Effect'],Device Sound Effect,1
290gfei8moWWSh8qTVkTT3,Ibiza Sunset Tibetan Singing Bowl Sessions 7 (Wipe out All Negativity Inside You),44,Tibetan Singing Bowls,['Tibetan Singing Bowls'],Tibetan Singing Bowls,1
23ordmf2KkRfHh9zE9RVyq,佃祭,35,Gontaro Yanagiya,['Gontaro Yanagiya'],Gontaro Yanagiya,1
47iSvlaCBugj3HrGZDZYcO,Tālā Gaisma (Distant Light),33,"Pēteris Vasks, O/Modernt Chamber Orchestra, Hugo Ticciati","['Pēteris Vasks', 'O/Modernt Chamber Orchestra', 'Hugo Ticciati']",Pēteris Vasks,3
6fKZZf5Mws3hr31ZAvCOcs,Asmr Tea Massage Roleplay,32,Jessica Cross,['Jessica Cross'],Jessica Cross,1
4J08TVw9zNYeBUtSDIkLP6,Snuggling Up,31,Relaxmydog,['Relaxmydog'],Relaxmydog,1
1IPbXZ2OblHvSUY3Mj58iv,"Keep Driving, I’m Dreaming",30,"Nicole Lizée, Canada's National Arts Centre Orchestra, Alexander Shelley","['Nicole Lizée', ""Canada's National Arts Centre Orchestra"", 'Alexander Shelley']",Nicole Lizée,3
0PHROMTH9aS7EP55Zqp5rU,DMT OBE Out of Body Experience Activation Frequency Spiritual Psychedelic Trip Sleep Meditation Music,30,LOKOS TV Now Meditation Music,['LOKOS TV Now Meditation Music'],LOKOS TV Now Meditation Music,1
4iipnIv7pu7ZJGnero0NRu,Music for Forests,29,Len Leise,['Len Leise'],Len Leise,1
3eSdS8uOOWA4WxpoY1iIWu,Uplift Yourself,29,Sapien Medicine,['Sapien Medicine'],Sapien Medicine,1
27irP8iu2u5ppj1v8uhogx,Sourat An Naml,28,Al Sheikh Ahmad Alnufais,['Al Sheikh Ahmad Alnufais'],Al Sheikh Ahmad Alnufais,1
5JCaWBCMRZS8bjD9jTJas0,Ankh Uthi Mohabat Ne,28,Nusrat Fateh Ali Khan,['Nusrat Fateh Ali Khan'],Nusrat Fateh Ali Khan,1
5vykLdfQeSwalNo8yuzdFW,塩原多助一代記-あお(青馬)の別れ-2/2,27,Utamaru Katsura,['Utamaru Katsura'],Utamaru Katsura,1
41HGS4mcFudFQUCMrO7WPo,"Livemiles II - Live in Berlin, Germany, 1987",27,Tangerine Dream,['Tangerine Dream'],Tangerine Dream,1
56xj0CztQ1OCzvUamYBoHz,Other Planes of There,22,Sun Ra,['Sun Ra'],Sun Ra,1
4l2wxY7OovHcSBjSiUGfxj,Videla (Parte 1),21,"Felipe Pigna, Roberto Martínez","['Felipe Pigna', 'Roberto Martínez']",Felipe Pigna,2
1QV0W3OA8McFoE0NQL8MyX,Ar-Rum,20,Edres Abkar,['Edres Abkar'],Edres Abkar,1
6pzK39KuFvRt6F7Z7m279Q,Nirvana,20,Satorio,['Satorio'],Satorio,1
7yKuGwczYDibU86nvluyEm,Mental and Physical Relaxation - Remastered,20,"Emmett Miller, Steven Halpern","['Emmett Miller', 'Steven Halpern']",Emmett Miller,2
5MHQpgP8IhG6nboW7mblVR,Senior 20 Minute Cardio Workout Mix (100 Bpm),20,Blue Claw Fitness,['Blue Claw Fitness'],Blue Claw Fitness,1
5JIlNKHZZmIawokNxBVomi,Tite Karili,18,Tha Lero,['Tha Lero'],Tha Lero,1
5R5WKxp06Od9s05oUxSAsr,"Symphony No. 7 in E Major, WAB 107 (Modified 1885 Version, Ed. A. Gutmann): I. Allegro moderato [Live]",18,"Anton Bruckner, Bavarian Radio Symphony Orchestra, Otto Klemperer","['Anton Bruckner', 'Bavarian Radio Symphony Orchestra', 'Otto Klemperer']",Anton Bruckner,3
5h0ufQcO9IhzrU13vQXFc7,"Parenting, The West, Maharajji",16,"Krishna Das, Sharon Salzberg","['Krishna Das', 'Sharon Salzberg']",Krishna Das,2
1BvPMdT9m0vCtFuPKAOo8d,"Kumikyoku ""Lucky Star Doga""",15,Lucky Star no Minna,['Lucky Star no Minna'],Lucky Star no Minna,1
6PuqdfSvPfEY4CwdBRvGC1,Cand S-Aduna Fratii Laolalta,15,Ionela Pascu,['Ionela Pascu'],Ionela Pascu,1
7IkYKEH1aOrfA5YyN3MDlw,Différences (1959) - Remastered,15,"Luciano Berio, Institute for Computer Music and Sound Technology, Georg Kohler","['Luciano Berio', 'Institute for Computer Music', 'Sound Technology', 'Georg Kohler']",Luciano Berio,4
56xpJB8aK1SXa5ACjAftGr,Manifestation Guided Shamanic Journey (With Drumming),15,Katie Weatherup,['Katie Weatherup'],Katie Weatherup,1
7mIFUdhjiqzE9SFzFHkx2e,The Disanto Waystation,15,S.E.T.I.,['S.E.T.I.'],S.E.T.I.,1
70Mjj8raOAqYMlBK2hIv8C,Symphony No. 4 In C Major: I. Allegro molto moderato,15,"Franz Schmidt, Wiener Philharmoniker, Zubin Mehta","['Franz Schmidt', 'Wiener Philharmoniker', 'Zubin Mehta']",Franz Schmidt,3
61rTznv1hAj5xgnAPxTeZ3,Uyumayan Çocuklara Ninniler,14,Küçük Murat,['Küçük Murat'],Küçük Murat,1
3tEnHrxfFbUzPEw1Q4xx8U,"Septet No. 1 in D Minor, Op. 74: I. Allegro con spirito",14,"Johann Nepomuk Hummel, Dieter Klöcker, Florian Uhlig, Consortium Classicum","['Johann Nepomuk Hummel', 'Dieter Klöcker', 'Florian Uhlig', 'Consortium Classicum']",Johann Nepomuk Hummel,4
06SRK5lDgngG0cNVYCQOo6,"Overture ""Leonore No. 3"", Op. 72b",13,"Ludwig van Beethoven, Berliner Philharmoniker, Herbert von Karajan","['Ludwig van Beethoven', 'Berliner Philharmoniker', 'Herbert von Karajan']",Ludwig van Beethoven,3
0stLtEEUQlwwSr8PKnmqMj,ساعه وتغيب الشمس,13,Hatem Al Iraqi,['Hatem Al Iraqi'],Hatem Al Iraqi,1
5i4RxlZwqYCGufcaOZJ5Uu,The Rabbit,13,Lucas King,['Lucas King'],Lucas King,1
54K3QQLtubkMsNBEGFtc90,"Tannhäuser, WWV 70: Overture",13,"Richard Wagner, Stuttgart Radio Symphony Orchestra, Hans Müller-Kray","['Richard Wagner', 'Stuttgart Radio Symphony Orchestra', 'Hans Müller-Kray']",Richard Wagner,3
3DPIlF35nVa6Xvgn6LCajU,Abankusele,13,Herman Basudde,['Herman Basudde'],Herman Basudde,1
5kD2vf3VXg0lxa3hdBUaHq,"Symphony No. 7 in E Major, WAB 107 (Ed. Haas): IV. Finale. Bewegt, doch nicht schnell",13,"Anton Bruckner, Wiener Philharmoniker, Herbert von Karajan","['Anton Bruckner', 'Wiener Philharmoniker', 'Herbert von Karajan']",Anton Bruckner,3
1MwpNTd8dc2qfvmhLnMxaN,"Cello Concerto No. 2 in C Minor, Op. 77: I. Molto sostenuto - Allegro molto e energico - Tempo I -",12,"Dmitry Kabalevsky, Torleif Thedéen, Hannover Radio Philharmonic Orchestra, Eiji Oue","['Dmitry Kabalevsky', 'Torleif Thedéen', 'Hannover Radio Philharmonic Orchestra', 'Eiji Oue']",Dmitry Kabalevsky,4
4nlyt76hbZdzX6Zcs3ZPLS,Chit Tha Mya Ko,12,Win Oo,['Win Oo'],Win Oo,1
1tqbZQHyXAruQp6Dkupa6L,"Sonata for Viola and Piano, Op. 36: I. Maestoso allegro",12,"Dimitri Murrath, Vincent Planès","['Dimitri Murrath', 'Vincent Planès']",Dimitri Murrath,2
5bz2zkO6hVnP6c7iSpSgRF,Genocide for Praise - Vals for the Vitruvian Man,12,Allegaeon,['Allegaeon'],Allegaeon,1
7x7l3MioySWBqjpXbCOvbD,"Cello Concerto in A Minor, Op. posth.: II. Adagio molto tranquillo",12,"Hans Pfitzner, Rundfunk-Sinfonieorchester Berlin, Alban Gerhardt, Sebastian Weigle","['Hans Pfitzner', 'Rundfunk-Sinfonieorchester Berlin', 'Alban Gerhardt', 'Sebastian Weigle']",Hans Pfitzner,4
2ZeSzc0OGcTmPFn4fSisWj,"Cello Concerto In B Minor, Op. 104, B.191: 3. Finale (Allegro moderato)",12,"Antonín Dvořák, Alisa Weilerstein, Czech Philharmonic, Jiří Bělohlávek","['Antonín Dvořák', 'Alisa Weilerstein', 'Czech Philharmonic', 'Jiří Bělohlávek']",Antonín Dvořák,4
5yFoKbVuVoA19NjP1j7qBu,"String Quartet No. 12, Op. 127: II. Adagio, ma non troppo e molto cantabile",11,"Ludwig van Beethoven, The Beethoven Quartet","['Ludwig van Beethoven', 'The Beethoven Quartet']",Ludwig van Beethoven,2
2AgriLe23vg8NV40qLKDif,موال ناس تجرى ورا المال,11,مكرم المنياوي,['مكرم المنياوي'],مكرم المنياوي,1
6doPx9QArdfAZj92U48nAe,Alone Again,11,Bvdub,['Bvdub'],Bvdub,1
0UtwGOSlMenvrKD3zrfstB,靈山清境僧,11,妙蓮華,['妙蓮華'],妙蓮華,1
1WQ2cb21bem9zYChpaesBM,Children of the Sounds,11,Kaipa,['Kaipa'],Kaipa,1
65MDXHYuMqboPfcoxgDz3m,Living on the Ceiling - Tuesday Morning Door Policy Version,11,Skinnerbox,['Skinnerbox'],Skinnerbox,1
71eTQdcUvHiAReUQ6Rsl3M,Cosmic Sensations,11,Sweet Carol,['Sweet Carol'],Sweet Carol,1
3mnMDiz81wtKoFbPisgmca,Mokili e change - Live,11,"Zaïko Langa Langa, Nkolo Mboka","['Zaïko Langa Langa', 'Nkolo Mboka']",Zaïko Langa Langa,2
2UVpWB2qeYKfHkCA9VhdOL,"Mozart: Quintet for Piano and Winds in E-Flat Major, K. 452: I. Largo - Allegro moderato",10,"Wolfgang Amadeus Mozart, Les Vents Français","['Wolfgang Amadeus Mozart', 'Les Vents Français']",Wolfgang Amadeus Mozart,2
2UVZtm5kUGxK5bJaxd7fpX,Shavasana,10,"Howard Givens, Craig Padilla","['Howard Givens', 'Craig Padilla']",Howard Givens,2
4KJu1hYFLyxzbYm1vwqF6G,Tiamat,10,Musarra,['Musarra'],Musarra,1
2ojN2LMlmaYjouKXmWT3zE,In This Moment,10,"Dayspring Worship, Joel Wiseman","['Dayspring Worship', 'Joel Wiseman']",Dayspring Worship,2
7lI7BksTQwiLX7y9Y94DaT,Can't Go Home - Live at Paradiso,10,King of the World,['King of the World'],King of the World,1
0pPN0Lx1hKBAULV84OnhB1,Third Eye,10,Macroform,['Macroform'],Macroform,1
3qF9WiYP6EyHbWoAmoKpQS,"Polonaise in F-Sharp Minor, Op. 44",10,"Frédéric Chopin, Folke Nauta","['Frédéric Chopin', 'Folke Nauta']",Frédéric Chopin,2
1ddJ3rTJquZSkrQyAUQNik,Hia li gabratni - Live,10,Cheb Hichem,['Cheb Hichem'],Cheb Hichem,1
5DlU9BjHN5xWHUEEzvO1dW,Shirt of Noise,9,"Lee Weisert, Clara Yang, Juan Alamo","['Lee Weisert', 'Clara Yang', 'Juan Alamo']",Lee Weisert,3
4fW7lh5F5jJsiQ1bShWrzi,Space and Silence,9,"Loom, Dopadocks","['Loom', 'Dopadocks']",Loom,2
